module,problem_id,variant,tests_passed,tests_total,line_coverage,branch_coverage,lines_in_function,lines_executed,status
GPT_CoT,4559,solve_4559_v1,2,2,100.0,80.0,11,11,PASS
GPT_CoT,4559,solve_4559_v2,2,2,100.0,80.0,13,13,PASS
GPT_CoT,4559,solve_4559_v3,0,2,100.0,80.0,13,13,FAIL
GPT_CoT,4655,solve_4655_v1,0,2,100.0,80.0,9,9,FAIL
GPT_CoT,4655,solve_4655_v2,0,2,100.0,80.0,10,10,FAIL
GPT_CoT,4655,solve_4655_v3,0,2,100.0,80.0,11,11,FAIL
GPT_CoT,747,solve_747_v1,2,2,96.3,77.04,27,26,PASS
GPT_CoT,747,solve_747_v2,2,2,100.0,80.0,21,21,PASS
GPT_CoT,747,solve_747_v3,2,2,90.48,72.38,21,19,PASS
GPT_CoT,771,solve_771_v1,0,2,100.0,80.0,11,11,FAIL
GPT_CoT,771,solve_771_v2,2,2,100.0,80.0,16,16,PASS
GPT_CoT,771,solve_771_v3,2,2,100.0,80.0,11,11,PASS
GPT_SelfDebug,1079,solve_1079_v1,2,2,83.61,66.89,61,51,PASS
GPT_SelfDebug,1079,solve_1079_v2,2,2,83.33,66.67,30,25,PASS
GPT_SelfDebug,1079,solve_1079_v3,0,2,68.18,54.55,22,15,FAIL
GPT_SelfDebug,1303,solve_1303_v1,2,2,95.45,76.36,22,21,PASS
GPT_SelfDebug,1303,solve_1303_v2,2,2,94.44,75.56,18,17,PASS
GPT_SelfDebug,1303,solve_1303_v3,2,2,100.0,80.0,20,20,PASS
GPT_SelfDebug,203,solve_203_v1,2,2,92.31,73.85,13,12,PASS
GPT_SelfDebug,203,solve_203_v2,0,2,85.71,68.57,21,18,FAIL
GPT_SelfDebug,203,solve_203_v3,0,2,87.5,70.0,24,21,FAIL
GPT_SelfDebug,3040,solve_3040_v1,2,2,97.22,77.78,36,35,PASS
GPT_SelfDebug,3040,solve_3040_v2,2,2,95.12,76.1,41,39,PASS
GPT_SelfDebug,3040,solve_3040_v3,2,2,78.95,63.16,76,60,PASS
GPT_SelfDebug,3177,solve_3177_v1,2,2,95.83,76.67,24,23,PASS
GPT_SelfDebug,3177,solve_3177_v2,2,2,93.33,74.67,30,28,PASS
GPT_SelfDebug,3177,solve_3177_v3,2,2,87.5,70.0,32,28,PASS
GPT_SelfDebug,4245,solve_4245_v1,2,2,100.0,80.0,5,5,PASS
GPT_SelfDebug,4245,solve_4245_v2,2,2,100.0,80.0,8,8,PASS
GPT_SelfDebug,4245,solve_4245_v3,2,2,100.0,80.0,3,3,PASS
GPT_SelfDebug,4559,solve_4559_v1,2,2,100.0,80.0,12,12,PASS
GPT_SelfDebug,4559,solve_4559_v2,2,2,100.0,80.0,11,11,PASS
GPT_SelfDebug,4559,solve_4559_v3,0,2,92.31,73.85,13,12,FAIL
GPT_SelfDebug,4655,solve_4655_v1,2,2,100.0,80.0,8,8,PASS
GPT_SelfDebug,4655,solve_4655_v2,2,2,100.0,80.0,8,8,PASS
GPT_SelfDebug,4655,solve_4655_v3,2,2,100.0,80.0,8,8,PASS
GPT_SelfDebug,747,solve_747_v1,2,2,96.43,77.14,28,27,PASS
GPT_SelfDebug,747,solve_747_v2,2,2,100.0,80.0,24,24,PASS
GPT_SelfDebug,747,solve_747_v3,2,2,96.15,76.92,26,25,PASS
GPT_SelfDebug,771,solve_771_v1,0,2,100.0,80.0,11,11,FAIL
GPT_SelfDebug,771,solve_771_v2,2,2,100.0,80.0,20,20,PASS
GPT_SelfDebug,771,solve_771_v3,0,2,100.0,80.0,10,10,FAIL
